code,short_title,detailed_description,system_category,code_type,severity_level
B0001,Driver Frontal Stage 1 Deployment Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0002,Driver Frontal Stage 2 Deployment Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0003,Driver Frontal Stage 3 Deployment Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0004,Driver Knee Bolster Deployment Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0005,Collapsible Steering Column Deployment Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0010,Passenger Frontal Stage 1 Deployment Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0011,Passenger Frontal Stage 2 Deployment Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0012,Passenger Frontal Stage 3 Deployment Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0013,Passenger Knee Bolster Deployment Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0020,Left Side Airbag Deployment Control (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0021,Left Curtain Deployment Control 1 (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0022,Left Curtain Deployment Control 2 (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0028,Right Side Airbag Deployment Control (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0029,Right Curtain Deployment Control 1 (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B002A,Right Curtain Deployment Control 2 (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0030,Second Row Left Side Airbag Deployment Control (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0031,Second Row Left Frontal Stage 1 Deployment Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0032,Second Row Left Frontal Stage 2 Deployment Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0033,Second Row Left Frontal Stage 3 Deployment Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0038,Second Row Right Side Airbag Deployment Control (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0039,Second Row Right Frontal Stage 1 Deployment Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B003A,Second Row Right Frontal Stage 2 Deployment Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
